Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B3969,north,317.25,0,0.15,269.66,435
B3969,east,0.0,0,0,0,436
B3969,south,317.25,0,0.15,269.66,437
B3969,west,0.0,0,0,0,438
B3969,roofs,195.97,1,0.8,156.776,439
B3292,north,139.06,0,0.21,109.86,440
B3292,east,82.85999999999999,0,0.21,65.46,441
B3292,south,0.0,0,0,0,442
B3292,west,82.94,0,0.21,65.52,443
B3292,roofs,51.25,1,0.8,41.0,444
B1186,north,458.25,0,0.25,343.69,445
B1186,east,221.44,0,0.25,166.08,446
B1186,south,424.16,0,0.25,318.12,447
B1186,west,0.0,0,0,0,448
B1186,roofs,313.2,1,0.8,250.56,449
B3839,north,268.88,0,0.25,201.66,450
B3839,east,0.0,0,0,0,451
B3839,south,266.64,0,0.25,199.98,452
B3839,west,185.71,0,0.25,139.28,453
B3839,roofs,198.38,1,0.8,158.704,454
B3123,north,476.81,0,0.25,357.61,455
B3123,east,193.0,0,0.25,144.75,456
B3123,south,445.08,0,0.25,333.81,457
B3123,west,43.230000000000004,0,0.25,32.42,458
B3123,roofs,417.02,1,0.8,333.616,459
B3073,north,245.46999999999997,0,0.21,193.92,460
B3073,east,0.0,0,0,0,461
B3073,south,246.29,0,0.21,194.57,462
B3073,west,155.64999999999998,0,0.21,122.96,463
B3073,roofs,158.99,1,0.8,127.19200000000001,464
B1237,north,208.0,0,0.16,174.72,465
B1237,east,273.75,0,0.16,229.95,466
B1237,south,208.0,0,0.16,174.72,467
B1237,west,273.75,0,0.16,229.95,468
B1237,roofs,175.74,1,0.8,140.592,469
B1612,north,93.44,0,0.21,73.82,470
B1612,east,171.79000000000002,0,0.21,135.71,471
B1612,south,108.35,0,0.21,85.6,472
B1612,west,172.58,0,0.21,136.34,473
B1612,roofs,120.4,1,0.8,96.32000000000001,474
B1742,north,99.71000000000001,0,0.16,83.76,475
B1742,east,195.46,0,0.16,164.19,476
B1742,south,182.19,0,0.16,153.04,477
B1742,west,136.27,0,0.16,114.47,478
B1742,roofs,109.54,1,0.8,87.632,479
B2054,north,526.52,0,0.21,415.95,480
B2054,east,172.2,0,0.21,136.04,481
B2054,south,526.52,0,0.21,415.95,482
B2054,west,172.2,0,0.21,136.04,483
B2054,roofs,402.96,1,0.8,322.368,484
B2104,north,82.36999999999999,0,0.21,65.07,485
B2104,east,103.87,0,0.21,82.06,486
B2104,south,82.92,0,0.21,65.51,487
B2104,west,101.28999999999999,0,0.21,80.02,488
B2104,roofs,58.85,1,0.8,47.080000000000005,489
B2521,north,219.72000000000003,0,0.21,173.58,490
B2521,east,234.48000000000002,0,0.21,185.24,491
B2521,south,0.0,0,0,0,492
B2521,west,234.42999999999998,0,0.21,185.2,493
B2521,roofs,228.9,1,0.8,183.12,494
B2358,north,184.93,0,0.21,146.09,495
B2358,east,294.94,0,0.21,233.0,496
B2358,south,0.0,0,0,0,497
B2358,west,294.97,0,0.21,233.03,498
B2358,roofs,240.93,1,0.8,192.74400000000003,499
B2208,north,578.3,0,0.21,456.86,500
B2208,east,919.15,0,0.21,726.13,501
B2208,south,601.48,0,0.21,475.17,502
B2208,west,917.75,0,0.21,725.02,503
B2208,roofs,1132.82,1,0.8,906.256,504
B2830,north,0.0,0,0,0,505
B2830,east,67.15,0,0.15,57.08,506
B2830,south,136.44,0,0.15,115.97,507
B2830,west,67.15,0,0.15,57.08,508
B2830,roofs,63.63,1,0.8,50.904,509
B2960,north,104.61,0,0.21,82.64,510
B2960,east,81.81,0,0.21,64.63,511
B2960,south,83.08,0,0.21,65.63,512
B2960,west,0.0,0,0,0,513
B2960,roofs,98.23,1,0.8,78.584,514
B4122,north,0.0,0,0,0,515
B4122,east,261.71,0,0.21,206.75,516
B4122,south,172.48,0,0.21,136.26,517
B4122,west,261.48,0,0.21,206.57,518
B4122,roofs,139.29,1,0.8,111.432,519
B2603,north,287.03,0,0.15,243.98,520
B2603,east,185.38,0,0.15,157.57,521
B2603,south,331.03999999999996,0,0.15,281.38,522
B2603,west,35.39,0,0.15,30.08,523
B2603,roofs,187.93,1,0.8,150.34400000000002,524
B2753,north,121.57000000000001,0,0.21,96.04,525
B2753,east,199.13,0,0.21,157.31,526
B2753,south,0.0,0,0,0,527
B2753,west,199.06,0,0.21,157.26,528
B2753,roofs,164.37,1,0.8,131.496,529
B3774,north,0.0,0,0,0,530
B3774,east,64.62,0,0.21,51.05,531
B3774,south,0.0,0,0,0,532
B3774,west,64.56,0,0.21,51.0,533
B3774,roofs,51.1,1,0.8,40.88,534
B1530,north,94.38999999999999,0,0.21,74.57,535
B1530,east,112.7,0,0.21,89.03,536
B1530,south,94.38999999999999,0,0.21,74.57,537
B1530,west,112.7,0,0.21,89.03,538
B1530,roofs,73.87,1,0.8,59.096000000000004,539
B3624,north,698.25,0,0.25,523.69,540
B3624,east,500.2,0,0.25,375.15,541
B3624,south,696.76,0,0.25,522.57,542
B3624,west,0.0,0,0,0,543
B3624,roofs,275.82,1,0.8,220.656,544
B1045,north,0.0,0,0,0,545
B1045,east,180.56,0,0.21,142.64,546
B1045,south,652.3100000000001,0,0.21,515.32,547
B1045,west,180.91,0,0.21,142.92,548
B1045,roofs,523.97,1,0.8,419.17600000000004,549
B1115,north,197.74,0,0.16,166.1,550
B1115,east,173.81,0,0.16,146.0,551
B1115,south,197.81,0,0.16,166.16,552
B1115,west,173.65,0,0.16,145.87,553
B1115,roofs,152.71,1,0.8,122.168,554
B3351,north,291.1,0,0.21,229.97,555
B3351,east,173.84,0,0.21,137.33,556
B3351,south,285.78000000000003,0,0.21,225.77,557
B3351,west,0.0,0,0,0,558
B3351,roofs,154.7,1,0.8,123.75999999999999,559
B1681,north,106.66999999999999,0,0.21,84.27,560
B1681,east,97.28,0,0.21,76.85,561
B1681,south,106.66999999999999,0,0.21,84.27,562
B1681,west,97.28,0,0.21,76.85,563
B1681,roofs,72.06,1,0.8,57.648,564
B3595,north,374.48,0,0.15,318.31,565
B3595,east,351.79999999999995,0,0.15,299.03,566
B3595,south,222.60000000000002,0,0.15,189.21,567
B3595,west,0.0,0,0,0,568
B3595,roofs,433.4,1,0.8,346.72,569
B3947,north,75.97,0,0.21,60.02,570
B3947,east,96.03,0,0.21,75.86,571
B3947,south,75.97,0,0.21,60.02,572
B3947,west,0.0,0,0,0,573
B3947,roofs,50.66,1,0.8,40.528,574
B3817,north,392.03999999999996,0,0.25,294.03,575
B3817,east,0.0,0,0,0,576
B3817,south,392.03999999999996,0,0.25,294.03,577
B3817,west,0.0,0,0,0,578
B3817,roofs,188.9,1,0.8,151.12,579
B3699,north,0.0,0,0,0,580
B3699,east,64.51,0,0.21,50.96,581
B3699,south,114.57000000000001,0,0.21,90.51,582
B3699,west,64.62,0,0.21,51.05,583
B3699,roofs,51.38,1,0.8,41.104000000000006,584
B1219,north,363.43,0,0.21,287.11,585
B1219,east,140.38,0,0.21,110.9,586
B1219,south,363.42,0,0.21,287.1,587
B1219,west,207.32999999999998,0,0.21,163.79,588
B1219,roofs,234.37,1,0.8,187.496,589
B3950,north,76.57,0,0.21,60.49,590
B3950,east,96.19,0,0.21,75.99,591
B3950,south,76.63,0,0.21,60.54,592
B3950,west,0.0,0,0,0,593
B3950,roofs,51.14,1,0.8,40.912000000000006,594
B1527,north,129.33,0,0.21,102.17,595
B1527,east,131.37,0,0.21,103.78,596
B1527,south,149.4,0,0.21,118.03,597
B1527,west,133.70999999999998,0,0.21,105.63,598
B1527,roofs,137.12,1,0.8,109.69600000000001,599
B3763,north,0.0,0,0,0,600
B3763,east,83.39,0,0.21,65.88,601
B3763,south,113.51,0,0.21,89.67,602
B3763,west,83.28,0,0.21,65.79,603
B3763,roofs,52.53,1,0.8,42.024,604
B3633,north,322.58,0,0.15,274.19,605
